               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.018975,           0.0082646,          0.00079984,             0.89721,             0.83047,             0.88989,             0.61433,            0.021648,           0.0052308,           0.0016227,           0.0050062,           0.0050062,           0.0050062
                 109,             0.01885,           0.0085185,           0.0009112,             0.89538,              0.8463,             0.89315,             0.62303,            0.021504,           0.0051746,           0.0011696,            0.004936,            0.004936,            0.004936
                 110,            0.019064,           0.0084854,          0.00080474,             0.91839,             0.82509,             0.89521,             0.61753,            0.021718,           0.0052935,            0.001568,           0.0048659,           0.0048659,           0.0048659
                 111,            0.018828,           0.0082581,          0.00074473,             0.89207,             0.83859,              0.8943,             0.61646,            0.021976,           0.0053086,           0.0014997,            0.004796,            0.004796,            0.004796
                 112,            0.018672,           0.0084098,          0.00097738,             0.89378,             0.84435,             0.88946,             0.61829,            0.021761,           0.0052942,           0.0015025,           0.0047263,           0.0047263,           0.0047263
                 113,            0.018542,           0.0082297,          0.00071089,             0.89982,             0.84326,             0.89259,             0.62309,            0.021616,           0.0052823,           0.0017116,           0.0046568,           0.0046568,           0.0046568
                 114,             0.01817,           0.0080149,          0.00087785,              0.9133,             0.82434,             0.88947,             0.62075,            0.021698,           0.0053022,            0.001549,           0.0045875,           0.0045875,           0.0045875
                 115,            0.018507,           0.0082411,          0.00082421,             0.88393,              0.8504,             0.88287,             0.61893,            0.021521,           0.0053289,           0.0016807,           0.0045184,           0.0045184,           0.0045184
                 116,            0.018513,           0.0081326,          0.00097847,              0.8934,             0.84259,             0.88068,             0.62046,            0.021491,           0.0052753,           0.0017324,           0.0044495,           0.0044495,           0.0044495
                 117,            0.018137,           0.0080617,          0.00067744,             0.91481,             0.84622,             0.89243,             0.61613,            0.021701,           0.0053258,           0.0014467,           0.0043809,           0.0043809,           0.0043809
                 118,             0.01862,           0.0081581,           0.0011412,             0.88756,               0.864,             0.88414,              0.6138,            0.021438,           0.0053302,           0.0013679,           0.0043126,           0.0043126,           0.0043126
                 119,            0.017935,           0.0077952,          0.00079651,             0.90661,             0.82609,             0.87931,             0.61815,              0.0215,           0.0053572,           0.0014316,           0.0042445,           0.0042445,           0.0042445
                 120,            0.018513,           0.0080583,          0.00092314,              0.8964,             0.85232,             0.88611,             0.62224,            0.021565,           0.0053255,           0.0014242,           0.0041768,           0.0041768,           0.0041768
                 121,            0.018283,           0.0080587,          0.00073547,             0.90607,             0.83474,             0.87764,              0.6193,            0.021598,           0.0053554,           0.0015053,           0.0041094,           0.0041094,           0.0041094
                 122,            0.017922,           0.0078526,          0.00099096,             0.91853,             0.82388,             0.87807,             0.61633,             0.02177,           0.0053985,           0.0014568,           0.0040424,           0.0040424,           0.0040424
                 123,            0.017624,           0.0078296,          0.00066988,             0.87816,             0.84225,             0.87517,             0.61676,            0.021614,           0.0053961,           0.0013086,           0.0039757,           0.0039757,           0.0039757
                 124,            0.017678,           0.0077681,          0.00069616,             0.88211,             0.84003,             0.87465,             0.61701,             0.02163,           0.0054306,           0.0013712,           0.0039094,           0.0039094,           0.0039094
                 125,              0.0177,           0.0079006,          0.00064862,             0.88632,             0.83974,             0.87725,             0.61926,            0.021676,           0.0054499,           0.0013328,           0.0038434,           0.0038434,           0.0038434
                 126,            0.017619,           0.0076241,          0.00069502,             0.86819,             0.85637,             0.87871,             0.62204,            0.021607,            0.005427,           0.0013847,           0.0037779,           0.0037779,           0.0037779
                 127,            0.017507,           0.0076617,          0.00086624,             0.87511,             0.84757,             0.87212,             0.61749,            0.021614,           0.0054732,           0.0016127,           0.0037128,           0.0037128,           0.0037128
                 128,            0.017175,           0.0077561,          0.00090236,             0.90401,             0.83632,             0.87549,             0.62022,            0.021609,           0.0055036,           0.0016125,           0.0036482,           0.0036482,           0.0036482
                 129,            0.017441,           0.0076243,          0.00082842,             0.88303,             0.84152,             0.88011,             0.62311,            0.021656,           0.0054757,           0.0014579,            0.003584,            0.003584,            0.003584
                 130,            0.017353,           0.0076526,          0.00077178,             0.90025,             0.83208,             0.88275,             0.62519,            0.021675,            0.005487,            0.001251,           0.0035203,           0.0035203,           0.0035203
                 131,            0.016987,           0.0076169,          0.00062993,             0.89897,             0.83467,             0.88317,              0.6239,            0.021684,           0.0054998,           0.0012202,            0.003457,            0.003457,            0.003457
                 132,            0.017281,           0.0076255,          0.00055334,             0.88574,             0.84852,             0.88331,             0.62178,            0.021589,           0.0054736,           0.0012833,           0.0033943,           0.0033943,           0.0033943
                 133,            0.017058,           0.0076331,          0.00065542,             0.87661,             0.84249,             0.87523,             0.62053,            0.021671,           0.0054673,           0.0013583,           0.0033321,           0.0033321,           0.0033321
                 134,             0.01674,           0.0076106,          0.00074041,             0.87659,             0.83827,             0.87069,             0.61544,            0.021723,           0.0055042,           0.0013393,           0.0032704,           0.0032704,           0.0032704
                 135,            0.016743,           0.0076058,          0.00060203,             0.87302,             0.85254,             0.87073,             0.61595,            0.021824,           0.0055262,            0.001418,           0.0032093,           0.0032093,           0.0032093
                 136,             0.01666,            0.007462,          0.00062684,             0.89732,             0.84648,             0.87715,             0.61288,            0.021798,            0.005577,           0.0014338,           0.0031488,           0.0031488,           0.0031488
                 137,            0.016754,            0.007458,          0.00065803,             0.90474,             0.84339,             0.87817,             0.61395,            0.021999,           0.0056063,           0.0014388,           0.0030888,           0.0030888,           0.0030888
                 138,            0.016377,           0.0074579,          0.00056317,             0.90647,             0.84647,              0.8795,             0.61387,            0.021995,           0.0056016,           0.0013861,           0.0030294,           0.0030294,           0.0030294
                 139,            0.016539,           0.0075196,          0.00063586,             0.90452,             0.84914,              0.8816,             0.61543,            0.022004,           0.0056256,           0.0013706,           0.0029706,           0.0029706,           0.0029706
                 140,            0.016309,           0.0073411,          0.00074481,             0.89762,             0.84176,             0.87878,             0.61916,             0.02186,           0.0056075,           0.0014245,           0.0029125,           0.0029125,           0.0029125
                 141,            0.016157,           0.0073095,          0.00056529,             0.88827,             0.83924,             0.87554,             0.62029,            0.021834,           0.0056271,           0.0013738,            0.002855,            0.002855,            0.002855
                 142,            0.016312,           0.0071701,          0.00050634,             0.88427,             0.84012,             0.87464,             0.62134,            0.021846,           0.0056381,           0.0013304,           0.0027981,           0.0027981,           0.0027981
                 143,            0.015972,           0.0073239,          0.00060052,             0.87967,             0.84224,               0.874,             0.62174,            0.021925,           0.0056223,           0.0014679,           0.0027419,           0.0027419,           0.0027419
                 144,            0.016168,           0.0072003,          0.00044865,              0.8852,             0.84451,             0.87891,             0.62107,            0.021958,           0.0056405,           0.0015104,           0.0026864,           0.0026864,           0.0026864
                 145,            0.015931,           0.0072682,           0.0006776,             0.90144,             0.83289,             0.87818,             0.62209,            0.021972,           0.0056199,           0.0015786,           0.0026316,           0.0026316,           0.0026316
                 146,            0.015894,           0.0071817,          0.00053102,             0.88921,             0.84286,             0.88144,             0.62371,            0.021964,           0.0056165,           0.0015571,           0.0025775,           0.0025775,           0.0025775
                 147,            0.015941,           0.0072895,          0.00060438,             0.91942,             0.82165,             0.88025,             0.62222,             0.02196,           0.0056399,           0.0014181,           0.0025241,           0.0025241,           0.0025241
                 148,              0.0154,           0.0071186,          0.00053512,             0.93535,               0.811,             0.88102,             0.61959,            0.022046,           0.0057019,           0.0013287,           0.0024714,           0.0024714,           0.0024714
                 149,            0.015592,           0.0071754,          0.00062194,             0.93768,             0.81001,             0.88048,             0.61662,            0.022034,           0.0057468,           0.0013948,           0.0024195,           0.0024195,           0.0024195
                 150,            0.015679,           0.0071557,          0.00041963,             0.93381,             0.81479,             0.87949,              0.6169,            0.022006,           0.0057556,           0.0014102,           0.0023684,           0.0023684,           0.0023684
                 151,            0.015623,           0.0070006,          0.00048649,             0.93554,             0.82042,             0.88156,             0.61918,            0.021965,           0.0057671,           0.0013817,            0.002318,            0.002318,            0.002318
                 152,            0.015442,           0.0069423,           0.0005764,             0.90487,             0.83442,             0.87862,             0.61884,             0.02192,           0.0057517,            0.001376,           0.0022684,           0.0022684,           0.0022684
                 153,            0.015808,           0.0072508,          0.00040478,             0.90868,             0.83498,             0.87521,             0.61973,            0.021951,           0.0057587,           0.0013864,           0.0022196,           0.0022196,           0.0022196
                 154,             0.01557,           0.0070175,          0.00044197,             0.89894,             0.83706,             0.87315,             0.61856,            0.021998,            0.005772,           0.0013864,           0.0021717,           0.0021717,           0.0021717
